Accident ID,Final_Category_Path,Cosine,Rank,Selected,Below_UNCAT_Threshold,Parent,Parent_Sim,Parent_Margin,Parent_LowConf,Consolidated_Path,Evidence_Expected_Terms,Evidence_Matched_Terms,Evidence_Matched_Count,Evidence_Expected_Count,Evidence_Coverage,Evidence_Pass,Evidence_Reason,Description_Full,Consolidated_Path_Full,LeafSupport,AllowedDepth,Consolidated_Path_Render
2,incident type > fire > fire extinguishers,0.5616085529327393,1,True,False,Incident Type,0.5616085529327393,0.03084886074066162,False,incident type > fire > fire extinguishers,fire | extinguishers,fire | extinguishers,2,2,1.0,True,pass_expected_terms,"Fire in a surface treatment plant At 5:30&nbsp;am on Monday, 13&nbsp;April 2015, workers discovered a fire in a skip for mixed municipal waste.It could not be extinguished with fire extinguishers.Because of the unfavourable wind conditions, the flames spread to the building (the container was over five metres from the building). The electroplating plant and the assembly and shipping departments were completely destroyed.The injection moulding hall and the offices suffered less damage. – Response by the fire service;– Implementation of disaster management;– Outdoor air pollution measurements (no toxic gases were detected, only combustion products from burning plastic)&nbsp; – Response by the planning office;– Extensive initial inspections by specialist cleaning firms and a specialist waste disposal firm to assess the situation and further coordinate the clean-up operation;– Waste disposal and cleaning by specialist firms in the injection moulding department.&nbsp;– Deployment of special chemical binders, high-pressure cleaners and scrubber dryers. The health of workers at the plant was at no point in danger.",incident type > fire > fire extinguishers,30.0,3,incident type > fire > fire extinguishers
2,incident type > fire > fire suppression,0.5325907468795776,2,True,False,Incident Type,0.5616085529327393,0.03084886074066162,False,incident type > fire > fire suppression,fire | suppression,fire,1,2,0.5,True,pass_expected_terms,"Fire in a surface treatment plant At 5:30&nbsp;am on Monday, 13&nbsp;April 2015, workers discovered a fire in a skip for mixed municipal waste.It could not be extinguished with fire extinguishers.Because of the unfavourable wind conditions, the flames spread to the building (the container was over five metres from the building). The electroplating plant and the assembly and shipping departments were completely destroyed.The injection moulding hall and the offices suffered less damage. – Response by the fire service;– Implementation of disaster management;– Outdoor air pollution measurements (no toxic gases were detected, only combustion products from burning plastic)&nbsp; – Response by the planning office;– Extensive initial inspections by specialist cleaning firms and a specialist waste disposal firm to assess the situation and further coordinate the clean-up operation;– Waste disposal and cleaning by specialist firms in the injection moulding department.&nbsp;– Deployment of special chemical binders, high-pressure cleaners and scrubber dryers. The health of workers at the plant was at no point in danger.",incident type > fire > fire suppression,8.0,2,incident type > fire > Other (depth-capped)
3,equipment > facility > water purification > wastewater,0.5036786794662476,1,True,False,equipment,0.5036786794662476,0.03282749652862549,False,equipment > facility > water purification > wastewater,wastewater,wastewater,1,1,1.0,True,pass_expected_terms,"Release of acetonitrile from a chemical wastewater drainage system at a chemical plant A hole formed in a chemical wastewater shaft, resulting in the release of contaminated chemical wastewater into the soil. The shaft is fitted with a protective coating (acid-proof liner and lead coating).&nbsp; – A mobile gas measurement device was activated during a site inspection by the operator.– All shafts on the site were inspected.– The wastewater register was updated to include the substance acetonitrile.– Clarification of further measures with the regional government office and professional specialists.",equipment > facility > water purification > wastewater,4.0,3,equipment > facility > water purification > Other (depth-capped)
3,equipment > facility > water purification,0.46282243728637695,2,True,False,equipment,0.5036786794662476,0.03282749652862549,False,equipment > facility > water purification,water | purification,water,1,2,0.5,True,pass_expected_terms,"Release of acetonitrile from a chemical wastewater drainage system at a chemical plant A hole formed in a chemical wastewater shaft, resulting in the release of contaminated chemical wastewater into the soil. The shaft is fitted with a protective coating (acid-proof liner and lead coating).&nbsp; – A mobile gas measurement device was activated during a site inspection by the operator.– All shafts on the site were inspected.– The wastewater register was updated to include the substance acetonitrile.– Clarification of further measures with the regional government office and professional specialists.",equipment > facility > water purification,6.0,2,equipment > facility > Other (depth-capped)
4,incident type > explosion > chemical explosion,0.5478287935256958,1,True,False,Incident Type,0.5478287935256958,0.05079030990600586,False,incident type > explosion > chemical explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,"Explosion in the underfiring system of a coke oven battery at a metallurgical plant The coke oven battery concerned comprises 70 coke ovens in parallel, each with a heating flue on either side (71 in total). Following the failure of a rod that centrally controlled the fuel gas butterfly valves on the heating flues, mixed gas flowed uncontrolled into some of the heating flues. The mixed gas got into the heating flue exhaust system, where it exploded.Following the explosion, the entire coke oven battery automatically entered safe mode, i.e. the quick-closing valves on the fuel gas feed were closed immediately. The explosion was accompanied by a loud bang and a visible emission of dust. There were no injuries. The on-site fire service and the local fire brigade attended the scene and secured the area. There was no danger to local residents. The exact cause of the failure of the rod is not known at present. – Automatic safe mode;– Interruption of the fuel gas feed by closing the feed.",incident type > explosion > chemical explosion,184.0,3,incident type > explosion > chemical explosion
4,incident type > explosion > gas explosion,0.5214812755584717,2,True,False,Incident Type,0.5478287935256958,0.05079030990600586,False,incident type > explosion > gas explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,"Explosion in the underfiring system of a coke oven battery at a metallurgical plant The coke oven battery concerned comprises 70 coke ovens in parallel, each with a heating flue on either side (71 in total). Following the failure of a rod that centrally controlled the fuel gas butterfly valves on the heating flues, mixed gas flowed uncontrolled into some of the heating flues. The mixed gas got into the heating flue exhaust system, where it exploded.Following the explosion, the entire coke oven battery automatically entered safe mode, i.e. the quick-closing valves on the fuel gas feed were closed immediately. The explosion was accompanied by a loud bang and a visible emission of dust. There were no injuries. The on-site fire service and the local fire brigade attended the scene and secured the area. There was no danger to local residents. The exact cause of the failure of the rod is not known at present. – Automatic safe mode;– Interruption of the fuel gas feed by closing the feed.",incident type > explosion > gas explosion,123.0,3,incident type > explosion > gas explosion
5,incident type > fire,0.556923508644104,1,True,False,Incident Type,0.556923508644104,0.04300504922866821,False,incident type > fire,fire,fire,1,1,1.0,True,accept_parent_backoff,"Release of sour water and naphtha and subsequent fire at a mineral oil refinery On 3&nbsp;July&nbsp;2015, during cleaning work on the suction strainer of a sour water pump, approximately 5&nbsp;m3 of cracked petrol was released and ignited, causing a fire. The fire caused over EUR&nbsp;5&nbsp;million in damage.One worker required first aid after being sprayed in the face with sour water, and three firefighters required first aid due to circulatory problems.The impact on the local environment due to smoke production was minor. The fluid catalytic cracking (FCC) unit underwent emergency shutdown; the flow of the product into the unit was interrupted.",incident type > fire,91.0,3,incident type > fire
5,UNCAT,0.5106269121170044,2,True,False,Incident Type,0.556923508644104,0.04300504922866821,False,UNCAT,explosion,,0,1,0.0,False,reject_expected_terms -> downgraded_to_uncat,"Release of sour water and naphtha and subsequent fire at a mineral oil refinery On 3&nbsp;July&nbsp;2015, during cleaning work on the suction strainer of a sour water pump, approximately 5&nbsp;m3 of cracked petrol was released and ignited, causing a fire. The fire caused over EUR&nbsp;5&nbsp;million in damage.One worker required first aid after being sprayed in the face with sour water, and three firefighters required first aid due to circulatory problems.The impact on the local environment due to smoke production was minor. The fluid catalytic cracking (FCC) unit underwent emergency shutdown; the flow of the product into the unit was interrupted.",UNCAT,,0,UNCAT
6,polyurethane,0.46437138319015503,1,True,False,polyurethane,0.46437138319015503,0.03350037336349487,False,polyurethane,polyurethane,polyurethane,1,1,1.0,True,pass_expected_terms,"Polyurethane Panel Factory The incident started in the upper level above the panel foam production area for production line 3, at a height of approximately 4 metres above floor level. This upper level area was partially closed on the side and adjacent to the finished products store (polyurethane sandwich panels). The upper level area is not clearly defined as one of the plant’s units (storage/production); its function was to reduce the volume of the production area below to ensure that it was sufficiently warm to enable the reaction needed to produce polyurethane foam, which is a continuous process. Some polyethylene spools were stored in the upper level area, even though they were not used there. The spools were in fact used in the panel finishing production line. During the incident, production line 3 was in operation under the upper level area, where polyurethane panels were being manufactured using pentane (from the raw material tank MP via an underground pipe that was cut off at source during the fire, at the point where it is turned on at the pump, by the operator manually blocking the production line) and using the catalyst (taken from the MP tank via an underground pipe from the tank that was subsequently entirely destroyed in the blaze). The fire, which started in the upper level, rapidly spread to the production line below, the rock wool panel production line, the curved panel production line, a finished products store (storage area 3), a stock of chemical products comprising five tanks for storing isocyanate of 35 m3 each, five tanks for storing polyol of 35 m3 each and two tanks for storing the catalyst (N&nbsp;N-dimethylcyclohexylamine) of 12.5 m3 each.",polyurethane,2.0,3,polyurethane
7,incident type > explosion > chemical explosion,0.6110286712646484,1,True,False,Incident Type,0.6110286712646484,0.07379770278930664,False,incident type > explosion > chemical explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,"Accident during tank cleaning and maintenance One person was seriously injured by an explosion and&nbsp;fire that occurred during maintenance inside a tank. A chemical product (85 % naphta) was used as a slip agent inside a container. This operation was performed on a regular basis (approximately every 2nd. week). During the operation of applying this slip agent, an explosion and fire occured. It is believed that static electricity&nbsp;caused by the material&nbsp;in&nbsp;clothes that the operator was wearing is believed to have caused the ignition.",incident type > explosion > chemical explosion,184.0,3,incident type > explosion > chemical explosion
7,incident type > explosion > gas explosion,0.5663822889328003,2,True,False,Incident Type,0.6110286712646484,0.07379770278930664,False,incident type > explosion > gas explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,"Accident during tank cleaning and maintenance One person was seriously injured by an explosion and&nbsp;fire that occurred during maintenance inside a tank. A chemical product (85 % naphta) was used as a slip agent inside a container. This operation was performed on a regular basis (approximately every 2nd. week). During the operation of applying this slip agent, an explosion and fire occured. It is believed that static electricity&nbsp;caused by the material&nbsp;in&nbsp;clothes that the operator was wearing is believed to have caused the ignition.",incident type > explosion > gas explosion,123.0,3,incident type > explosion > gas explosion
8,incident type > explosion > chemical explosion,0.583102285861969,1,True,False,Incident Type,0.583102285861969,0.014923512935638428,True,incident type > explosion > chemical explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,"Explosion and fire at a facility handling explosive substances Due to an internal fault in the kneading process in a kneader (kneading powder cake), an explosion occurred, resulting in a fireSafety function:Blast wall, automatic supply of extinguishing water, fire brigade automatically alerted.",incident type > explosion > chemical explosion,184.0,3,incident type > explosion > chemical explosion
8,incident type > explosion > physical explosion,0.5749413967132568,2,True,False,Incident Type,0.583102285861969,0.014923512935638428,True,incident type > explosion > physical explosion,physical | explosion,explosion,1,2,0.5,True,pass_expected_terms,"Explosion and fire at a facility handling explosive substances Due to an internal fault in the kneading process in a kneader (kneading powder cake), an explosion occurred, resulting in a fireSafety function:Blast wall, automatic supply of extinguishing water, fire brigade automatically alerted.",incident type > explosion > physical explosion,18.0,3,incident type > explosion > physical explosion
9,chemical > type > ammonia,0.5292199850082397,1,True,False,chemicals,0.5292199850082397,0.006968140602111816,True,chemical > type > ammonia,ammonia,ammonia,1,1,1.0,True,pass_expected_terms,Ammonia release in a brewery cooling system ammonia release (cooling system),chemical > type > ammonia,5.0,3,chemical > type > ammonia
10,chemical > type > ammonia,0.5136046409606934,1,True,False,chemicals,0.5136046409606934,0.009715259075164795,True,chemical > type > ammonia,ammonia,ammonia,1,1,1.0,True,pass_expected_terms,Ammonia release in a brewery cooling system Ammonia release for cooling system,chemical > type > ammonia,5.0,3,chemical > type > ammonia
11,flammabl,0.6649463176727295,1,True,False,flammables,0.6649463176727295,0.016698718070983887,True,flammabl,,,0,0,,True,fallback_cosine,Explosion of flammable solvents with subsequent fire Explosion of flammable solvents with subsequent fire,flammabl,2.0,1,flammabl
12,incident type > explosion > chemical explosion,0.614743709564209,1,True,False,Incident Type,0.614743709564209,0.06420242786407471,False,incident type > explosion > chemical explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,"Explosion in a glyoxylic acid production line Explosion in a production line for glyoxylic acid (CAS 298-12-4) with subsequent fire; in the installation various relevant substances were present (methanol, hydrogen, peroxides). 20 workers were injured, 1 of them had to be kept in hospital. The part of the installation which contained the production line was completely destroyed, missile range ca. 150 m",incident type > explosion > chemical explosion,184.0,3,incident type > explosion > chemical explosion
12,incident type > explosion,0.5907924771308899,2,True,False,Incident Type,0.614743709564209,0.06420242786407471,False,incident type > explosion,explosion,explosion,1,1,1.0,True,accept_parent_backoff,"Explosion in a glyoxylic acid production line Explosion in a production line for glyoxylic acid (CAS 298-12-4) with subsequent fire; in the installation various relevant substances were present (methanol, hydrogen, peroxides). 20 workers were injured, 1 of them had to be kept in hospital. The part of the installation which contained the production line was completely destroyed, missile range ca. 150 m",incident type > explosion,121.0,3,incident type > explosion
13,incident type > explosion > chemical explosion,0.5610594749450684,1,True,False,Incident Type,0.5610594749450684,0.03231394290924072,False,incident type > explosion > chemical explosion,explosion,explosion,1,1,1.0,True,pass_expected_terms,Explosion in a glyoxylic acid production line Explosion in a production line for glyoxylic acid (the same installation was already subject to report a major accident one year before) - causes are not known yet,incident type > explosion > chemical explosion,184.0,3,incident type > explosion > chemical explosion
13,incident type > explosion,0.5537745952606201,2,True,False,Incident Type,0.5610594749450684,0.03231394290924072,False,incident type > explosion,explosion,explosion,1,1,1.0,True,accept_parent_backoff,Explosion in a glyoxylic acid production line Explosion in a production line for glyoxylic acid (the same installation was already subject to report a major accident one year before) - causes are not known yet,incident type > explosion,121.0,3,incident type > explosion
14,in-leakage,0.5041590332984924,1,True,False,in-leakage,0.5041590332984924,0.0027202367782592773,True,in-leakage,leakage,leakage,1,1,1.0,True,pass_expected_terms,"Leakage of a heat exchanger and crude oil from a distillation column in a refinery Leakage of a heat exchanger and a pipe containing crude oil with subsequent fire; no fatalities, injuries or environmental damage but the affected part of the installation was the first of the whole distillation process and therefore crucial for the production - the relevant criterion for reporting was material loss.",in-leakage,5.0,3,in-leakage
15,consequenc > plant > property > equipment > leak > rupture > pipe leak,0.49599629640579224,1,True,False,consequences,0.49599629640579224,0.014692962169647217,True,consequenc > plant > property > equipment > leak > rupture > pipe leak,,,0,0,,True,accept_parent_backoff,"Leakage and fire of crude oil from pipe due to corrosion Leakage of crude oil pipe due to corrosion with subsequent fire, no fatalities or injuries but production partly delayed with material loss",consequenc > plant > property > equipment > leak > rupture > pipe leak,8.0,1,consequenc > Other (depth-capped)
15,consequenc > plant > property > equipment > leak > rupture > tank leak,0.441428005695343,2,True,False,consequences,0.49599629640579224,0.014692962169647217,True,consequenc > plant > property > equipment > leak > rupture > tank leak,,,0,0,,True,accept_parent_backoff,"Leakage and fire of crude oil from pipe due to corrosion Leakage of crude oil pipe due to corrosion with subsequent fire, no fatalities or injuries but production partly delayed with material loss",consequenc > plant > property > equipment > leak > rupture > tank leak,7.0,1,consequenc > Other (depth-capped)
16,incident type > explosion,0.5777633190155029,1,True,False,Incident Type,0.5777633190155029,0.046474575996398926,False,incident type > explosion,explosion,explosion,1,1,1.0,True,accept_parent_backoff,"Explosion of a leach tank during maintenance works Explosion of a leach tank, causes not known until now, two fatalities",incident type > explosion,121.0,3,incident type > explosion
